0.25,0.25,0.95
0.75,0.25,0.95
1.25,0.25,0.95
1.75,0.25,0.95
2.25,0.25,0.95
2.75,0.25,0.95
3.25,0.25,0.95
3.75,0.25,0.95
4.25,0.25,0.95
4.75,0.25,0.95
5.25,0.25,0.95
5.75,0.25,0.95
6.25,0.25,0.95
6.75,0.25,0.95
0.25,0.75,0.95
0.75,0.75,0.95
1.25,0.75,0.95
1.75,0.75,0.95
2.25,0.75,0.95
2.75,0.75,0.95
3.25,0.75,0.95
3.75,0.75,0.95
4.25,0.75,0.95
4.75,0.75,0.95
5.25,0.75,0.95
5.75,0.75,0.95
6.25,0.75,0.95
6.75,0.75,0.95
0.25,1.25,0.95
0.75,1.25,0.95
1.25,1.25,0.95
1.75,1.25,0.95
2.25,1.25,0.95
2.75,1.25,0.95
3.25,1.25,0.95
3.75,1.25,0.95
4.25,1.25,0.95
4.75,1.25,0.95
5.25,1.25,0.95
5.75,1.25,0.95
6.25,1.25,0.95
6.75,1.25,0.95
0.25,1.75,0.95
0.75,1.75,0.95
1.25,1.75,0.95
1.75,1.75,0.95
2.25,1.75,0.95
2.75,1.75,0.95
3.25,1.75,0.95
3.75,1.75,0.95
4.25,1.75,0.95
4.75,1.75,0.95
5.25,1.75,0.95
5.75,1.75,0.95
6.25,1.75,0.95
6.75,1.75,0.95
0.25,2.25,0.95
0.75,2.25,0.95
1.25,2.25,0.95
1.75,2.25,0.95
2.25,2.25,0.95
2.75,2.25,0.95
3.25,2.25,0.95
3.75,2.25,0.95
4.25,2.25,0.95
4.75,2.25,0.95
5.25,2.25,0.95
5.75,2.25,0.95
6.25,2.25,0.95
6.75,2.25,0.95
0.25,2.75,0.95
0.75,2.75,0.95
1.25,2.75,0.95
1.75,2.75,0.95
2.25,2.75,0.95
2.75,2.75,0.95
3.25,2.75,0.95
3.75,2.75,0.95
4.25,2.75,0.95
4.75,2.75,0.95
5.25,2.75,0.95
5.75,2.75,0.95
6.25,2.75,0.95
6.75,2.75,0.95
2.25,3.25,0.95
2.75,3.25,0.95
3.25,3.25,0.95
3.75,3.25,0.95
4.25,3.25,0.95
4.75,3.25,0.95
2.25,3.75,0.95
2.75,3.75,0.95
3.25,3.75,0.95
3.75,3.75,0.95
4.25,3.75,0.95
4.75,3.75,0.95
2.25,4.25,0.95
2.75,4.25,0.95
3.25,4.25,0.95
3.75,4.25,0.95
4.25,4.25,0.95
4.75,4.25,0.95
2.25,4.75,0.95
2.75,4.75,0.95
3.25,4.75,0.95
3.75,4.75,0.95
4.25,4.75,0.95
4.75,4.75,0.95
2.25,5.25,0.95
2.75,5.25,0.95
3.25,5.25,0.95
3.75,5.25,0.95
4.25,5.25,0.95
4.75,5.25,0.95
2.25,5.75,0.95
2.75,5.75,0.95
3.25,5.75,0.95
3.75,5.75,0.95
4.25,5.75,0.95
4.75,5.75,0.95
2.25,6.25,0.95
2.75,6.25,0.95
3.25,6.25,0.95
3.75,6.25,0.95
4.25,6.25,0.95
4.75,6.25,0.95
